orario,CONSUMO GAS (30 minutos),ENERGIA ACUMULADA (30 minutos),ENERGIA INSTANTANEA (15 minuto),Horas Funcionamiento Caldera 1 (15 minuto),Horas Funcionamiento Caldera 2 (15 minuto),TEMP IMP CALDERA 1 (15 minuto),TEMP IMP CALDERA 2 (15 minuto),TEMP IMP CALDERA 3 (15 minuto),TEMP IMP CALDERAS (15 minuto),TEMP RET CALDERAS (15 minuto),TEMPERATURA IMPULSION ANILLO (15 minuto),TEMPERATURA RETORNO ANILLO (15 minuto),VOLUMEN ACUMULADO (15 minuto),VOLUMEN INSTANTANEO (15 minuto)
2021-01-01 00:00:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 00:30:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 01:00:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 01:30:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 02:00:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 02:30:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 03:00:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 03:30:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 04:00:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 04:30:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 05:00:00,3406782.0,66258500.0,,18006.83,17894.62,,,,,,,,,
2021-01-01 05:30:00,3406814.0,66259000.0,,18006.83,17895.254999999997,,,,,,,,,
2021-01-01 06:00:00,3406891.0,66260000.0,,18006.83,17895.89,,,,,,,,,
2021-01-01 06:30:00,3406905.0,66260300.0,,18006.83,17895.89,,,,,,,,,
2021-01-01 07:00:00,3406905.0,66260300.0,,18006.83,17895.89,,,,,,,,,
2021-01-01 07:30:00,3406905.0,66260300.0,,18006.83,17895.89,,,,,,,,,
2021-01-01 08:00:00,3406905.0,66260300.0,,18006.83,17895.89,,,,,,,,,
2021-01-01 08:30:00,3406905.0,66260400.0,,18006.83,17895.89,,,,,,,,,
2021-01-01 09:00:00,3406905.0,66260400.0,,18006.83,17895.89,,,,,,,,,
2021-01-01 09:30:00,3406948.0,66260900.0,,18007.08,17896.39,,,,,,,,,
2021-01-01 10:00:00,3406950.0,66261000.0,,18007.33,17896.89,,,,,,,,,
2021-01-01 10:30:00,3406950.0,66261000.0,,18007.33,17896.89,,,,,,,,,
2021-01-01 11:00:00,3406950.0,66261000.0,,18007.33,17896.89,,,,,,,,,
2021-01-01 11:30:00,3406950.0,66261000.0,,18007.33,17896.89,,,,,,,,,
2021-01-01 12:00:00,3406950.0,66261000.0,,18007.33,17896.89,,,,,,,,,
2021-01-01 12:30:00,3407108.0,66263400.0,,18007.33,17896.89,,,,,,,,,
2021-01-01 13:00:00,3407282.0,66266000.0,,18007.33,17896.89,,,,,,,,,
2021-01-01 13:30:00,3407419.0,66268000.0,,18008.68,17898.18,,,,,,,,,
2021-01-01 14:00:00,3407536.0,66269900.0,,18008.68,17898.18,,,,,,,,,
2021-01-01 14:30:00,3407647.0,66271700.0,,18008.68,17898.825,,,,,,,,,
2021-01-01 15:00:00,3407755.0,66273400.0,,18010.03,17899.47,,,,,,,,,
2021-01-01 15:30:00,3407863.0,66275100.0,,18010.03,17899.47,,,,,,,,,
2021-01-01 16:00:00,3407970.0,66276800.0,,18010.705,17900.76,,,,,,,,,
2021-01-01 16:30:00,3408080.0,66278500.0,,18011.38,17900.76,,,,,,,,,
2021-01-01 17:00:00,3408185.0,66280200.0,,18011.38,17900.76,,,,,,,,,
2021-01-01 17:30:00,3408288.0,66281800.0,,18012.73,17902.04,,,,,,,,,
2021-01-01 18:00:00,3408387.0,66283400.0,,18012.73,17902.04,,,,,,,,,
2021-01-01 18:30:00,3408485.0,66285000.0,,18012.73,17902.685,,,,,,,,,
2021-01-01 19:00:00,3408583.0,66286500.0,,18014.08,17903.33,,,,,,,,,
2021-01-01 19:30:00,3408684.0,66288100.0,,18014.08,17903.33,,,,,,,,,
2021-01-01 20:00:00,3408776.0,66289500.0,,18014.08,17904.62,,,,,,,,,
2021-01-01 20:30:00,3408892.0,66291400.0,,18015.43,17904.62,,,,,,,,,
2021-01-01 21:00:00,3408999.0,66293100.0,,18015.43,17905.265,,,,,,,,,
